Clean_Title,Title_Counts,Clean_Title_Char_Len
code lyoko,4,10
last tango in halifax,4,21
black sails,4,11
king of golf,4,12
glow up,4,7
the undertaker,4,14
dawn of the croods,4,18
please like me,4,14
atypical,4,8
car masters rust to riches,4,26
aiseki shokudo,4,14
love is blind,4,13
love island usa,4,15
little things,4,13
cable girls,4,11
casual,4,6
fauda,4,5
documentary now,4,15
the coroner 2019,4,16
you,4,3
hiphop evolution,4,16
due south,4,9
never have i ever,4,17
dreamland 2014,4,14
hormones,4,8
7 vidas,4,7
virgin river,4,12
pirunpelto,4,10
man down,4,8
mighty morphin power rangers,4,28
open,4,4
buurman  buurman,4,16
44 cats,4,7
the garfield show,4,17
life in pieces,4,14
greenhouse academy,4,18
the windsors,3,12
grizzy and the lemmings,3,23
mighty little bheem,3,19
frontier,3,8
i think you should leave with tim robinson,3,42
bloodline,3,9
motherland,3,10
beyblade,3,8
intersection,3,12
the kominsky method,3,19
oishinbo,3,8
bread barbershop,3,16
el chapo,3,8
the witcher,3,11
popples,3,7
the crime,3,9
love ft marriage and divorce,3,28
scream,3,6
hey duggee,3,10
busted,3,6
haunted,3,7
the penthouse war in life,3,25
easy,3,4
shtisel,3,7
emily in paris,3,14
lilyhammer,3,10
sintonia,3,8
sky rojo,3,8
hap and leonard,3,15
narcos,3,6
zatch bell,3,10
checkout,3,8
the legacy,3,10
summertime,3,10
geordie shore,3,13
victorious,3,10
the next step,3,13
teasing master takagisan,3,24
santa clarita diet,3,18
sex education,3,13
locke  key,3,10
best interest,3,13
heidi 2015,3,10
192 2011,3,8
rainbow high,3,12
larva,3,5
explained,3,9
scissor seven,3,13
family business,3,15
exorcist,3,8
glow,3,4
blood  water,3,12
love after lockup,3,17
designated survivor,3,19
berserk,3,7
the rain,3,8
undercover,3,10
mr osomatsu,3,11
rupauls drag race all stars,3,27
welcome to demon school  irumakun,3,33
switch,3,6
the fairly oddparents,3,21
shadow,3,6
from me to you kimi ni todoke,3,29
winx club,3,9
occupied,3,8
kid cosmic,3,10
butt detective,3,14
the parisian agency exclusive properties,3,40
kingdom,3,7
bordertown,3,10
mr bean the animated series,3,27
moving art,3,10
dark,3,4
dope,3,4
star trek,3,9
the game 2006,3,13
norsemen,3,8
costa,3,5
couples come dine with me,3,25
ash vs evil dead,3,16
angry birds summer madness,3,26
janet king,3,10
danger mouse classic collection,3,31
millennials 2018,3,16
bill nye saves the world,3,24
who killed sara,3,15
one piece zou,3,13
turbo fast,3,10
dinotrux supercharged,3,21
merl,3,4
the least expected day inside the movistar team 2019,3,52
floor is lava,3,13
the killing,3,11
bling empire,3,12
how to sell drugs online fast,3,29
blown away,3,10
the movies that made us,3,23
luis miguel  the series,3,23
charit,3,6
skylanders academy,3,18
wakfu,3,5
sin senos s hay paraso,3,22
assassination classroom,3,23
colony,3,6
the missing,3,11
life after lockup,3,17
high seas,3,9
baby,3,4
travelers,3,9
snowpiercer,3,11
go dog go,3,9
wanted,3,6
deadwind,3,8
final space,3,11
outback truckers,3,16
into the badlands,3,17
lost in space,3,13
legion,3,6
falling in love like a romantic drama,3,37
mord mit aussicht,3,17
borgen,3,6
the house of flowers,3,20
kurokos basketball,3,18
glitch,3,6
free rein,3,9
derek,3,5
kipo and the age of wonderbeasts,3,32
the boat,3,8
the gift,3,8
super monsters,3,14
public enemy,3,12
mr mercedes,3,11
man like mobeen,3,15
key  peele,3,10
suburra blood on rome,3,21
marcella,3,8
hozukis coolheadedness,3,22
la reina del sur,3,16
love after divorce,3,18
fairies albums,3,14
beat bugs,3,9
bad exorcist,3,12
golden kamuy,3,12
meet the adebanjos,3,18
the standups,3,12
the borgias 2011,3,16
maggie  bianca fashion friends,3,30
versailles,3,10
one day at a time,3,17
god troubles me,3,15
gormiti,3,7
kazoops,3,7
the platform,3,12
paquita salas,3,13
nailed it mexico,3,16
the rookie,3,10
the restaurant,3,14
mob psycho 100,3,14
dr stone,3,8
sin tetas no hay paraso 2008,3,28
the deep 2015,3,13
valeria,3,7
the cuphead show,3,16
the worlds most extraordinary homes,3,35
ask the storybots,3,17
the fisherman and the city,3,26
daughter from another mother,3,28
love,3,4
teenage parents,3,15
the fall,3,8
the toys that made us,3,21
kakegurui,3,9
zoo 2015,3,8
the adventures of tintin,3,24
new school,3,10
hush,3,4
master of none,3,14
magic for humans,3,16
catching killers,3,16
outer banks,3,11
two sentence horror stories,3,27
tangle,3,6
berlin station,3,14
sarah  duck,3,11
tagged,3,6
tales by light,3,14
my magic pet morphle,3,20
wild kratts,3,11
hannibal,3,8
cinderella chef,3,15
attack on titan the final,3,25
rust valley restorers,3,21
johan falk,3,10
mentai piriri,3,13
babylon berlin,3,14
the hook up plan,3,16
star,3,4
sailor moon crystal,3,19
upper middle bogan,3,18
jack irish the series,3,21
a series of unfortunate events,3,30
heman and the masters of the universe,3,37
barbie dreamhouse adventures,3,28
boboiboy,3,8
the epic tales of captain underpants,3,36
sharkdog,3,8
dark matter,3,11
the disastrous life of saiki k,3,30
ajin demihuman,3,14
control z,3,9
seachange,3,9
servant of the people,3,21
yoohoo to the rescue,3,20
anne with an e,3,14
luna petunia,3,12
derry girls,3,11
love is blind brazil,3,20
rabbids invasion,3,16
lethal weapon,3,13
mighty raju,3,11
lovesick,3,8
the wiggles ready steady wiggle,3,31
indian matchmaking,3,18
the umbrella academy,3,20
dead to me,3,10
world trigger,3,13
shooter,3,7
power players,3,13
ultraman,3,8
h2o just add water,3,18
rosario tijeras mexico,3,22
after life,3,10
rupauls drag race untucked,3,26
narcos mexico,3,13
gigantosaurus,2,13
hope,2,4
dinosaur train,2,14
samurai rabbit the usagi chronicles,2,35
one of us is lying,2,18
fire force,2,10
smotherinlaw,2,12
angry birds,2,11
green eggs and ham,2,18
hotaru no hikari its only a little light in my life,2,51
timeless,2,8
happy,2,5
abby hatcher,2,12
justice league unlimited,2,24
too hot to handle brazil,2,24
the king,2,8
wild district,2,13
million dollar listing new york,2,31
drug lords,2,10
talking tom and friends,2,23
h2o mermaid adventures,2,22
delhi crime,2,11
tokyo revengers,2,15
el prncipe,2,10
ranking of kings,2,16
veggietales in the city,2,23
old enough,2,10
shaun the sheep,2,15
the worlds most amazing vacation rentals,2,40
geckos garage  3d,2,17
tokyo ghoul,2,11
love 101,2,8
galinha pintadinha mini,2,23
glitter force,2,13
barney and friends,2,18
action pack,2,11
100 das para enamorarnos,2,24
one more time,2,13
that time i got reincarnated as a slime,2,39
brotherhood,2,11
the kingdom,2,11
my unorthodox life,2,18
richie rich,2,11
izzys koala world,2,17
framed a sicilian murder mystery,2,32
mtv shuga down south,2,20
zoey 101,2,8
snabba cash,2,11
handsome siblings,2,17
young royals,2,12
signal,2,6
meet marry murder,2,17
the magic school bus rides again,2,32
creeped out,2,11
doraemon,2,8
get organized with the home edit,2,32
when missing turns to murder,2,28
glitch techs,2,12
trash truck,2,11
sense8,2,6
the shannara chronicles,2,23
redfern now,2,11
imposters,2,9
secrets of summer,2,17
space force,2,11
friends from college,2,20
she was pretty,2,14
the a list,2,10
love o2o,2,8
knightfall,2,10
monarca,2,7
nuri,2,4
good morning vernica,2,20
justice league,2,14
power rangers beast morphers,2,28
cargo,2,5
girls incarcerated,2,18
unit 42,2,7
always a witch,2,14
bank of dave,2,12
capitani,2,8
into the night,2,14
the end of the fing world,2,25
rise of the teenage mutant ninja turtles,2,40
oggy oggy,2,9
the haunted house,2,17
cowboy bebop,2,12
barbie it takes two,2,19
big timber,2,10
blippi wonders,2,14
the mick,2,8
rugrats 1991,2,12
mismatched,2,10
the hollow,2,10
between,2,7
biohackers,2,10
odd squad,2,9
edgar rice burroughs tarzan and jane,2,36
marlon,2,6
cold case files,2,15
johnny test,2,11
tayo the little bus,2,19
the daily life of the immortal king,2,35
bella and the bulldogs,2,22
thomas  friends all engines go,2,30
the club,2,8
larva island,2,12
another life,2,12
my sassy girl,2,13
rainbow rangers,2,15
the unxplained with william shatner,2,35
kidecats,2,8
russian doll,2,12
she,2,3
kono oto tomare sounds of life,2,30
wildflower,2,10
alien tv,2,8
puffin rock,2,11
down to earth with zac efron,2,28
good morning call,2,17
black spot,2,10
peter rabbit,2,12
the promise,2,11
masameer classics masameer,2,26
tobot galaxy detectives,2,23
death note,2,10
the new legends of monkey,2,25
last chance u basketball,2,24
kong king of the apes,2,21
the way of the househusband,2,27
sonic x,2,7
tom and jerry tales,2,19
my first first love,2,19
great british baking show juniors,2,33
animal,2,6
some assembly required,2,22
hilda,2,5
rough cut,2,9
wellintended love,2,17
partners for justice,2,20
sunny bunnies,2,13
the good detective,2,18
salvation,2,9
iron man armored adventures,2,27
the master plan,2,15
trailer park boys the animated series,2,37
guilty,2,6
ghost in the shell sac2045,2,26
the degenerates,2,15
dogs in space,2,13
the future diary,2,16
the iron squad,2,14
the mole 2001,2,13
abstract the art of design,2,26
the sound of your heart reboot,2,30
the team,2,8
the unremarkable juanquini,2,26
tiffany haddish presents they ready,2,35
sexy beasts,2,11
sesame street selections from,2,29
remember you,2,12
varg veum,2,9
you are the apple of my eye,2,27
yummy mummies,2,13
girls from ipanema,2,18
he who cant marry,2,17
kochikame,2,9
teen mom 2,2,10
connected,2,9
classroom of the elite,2,22
mohammed ali road,2,17
buddi,2,5
morden im norden,2,16
bibi  tina 2004,2,15
baby ballroom,2,13
naam,2,4
recommendations for solo live girls,2,35
pinkfong dance workout,2,22
secret,2,6
secret jouju,2,12
new world,2,9
lego bionicle the journey to one,2,32
super wings,2,11
tannbach  schicksal eines dorfes,2,32
tayos singalong show,2,20
liar,2,4
kaguyasama love is war 2019,2,27
trapped 2015,2,12
fatezero,2,8
fabulous lives of bollywood wives,2,33
ever night,2,10
cells at work 2018,2,18
geronimo stilton,2,16
go jetters,2,10
all that 1995,2,13
acquitted,2,9
totally spies,2,13
harry enfields television programme,2,35
hello carbot 5,2,14
sisters,2,7
robozuna,2,8
restaurants on the edge,2,23
i will do it in the next life,2,29
magical andes,2,13
fullmetal alchemist,2,19
forest of piano,2,15
flowers,2,7
mother,2,6
harley quinn,2,12
white gold,2,10
gate,2,4
danger mouse,2,12
amazing hotels life beyond the lobby,2,36
unstoppable,2,11
the journalist,2,14
barbapapa,2,9
sick note,2,9
senninha and friends,2,20
samsam 2007,2,11
real rob,2,8
little princess,2,15
kuromukuro,2,10
castle rock,2,11
inspectre,2,9
clique,2,6
el reemplazante,2,15
yakari 2005,2,11
for life,2,8
insiders,2,8
lets go galaxy guards,2,21
ejen ali,2,8
can you hear me,2,15
chewing gum,2,11
benjamin blmchen 2002,2,21
bagman,2,6
detention,2,9
yoshimoto shinkigeki,2,20
hostages,2,8
ginny  georgia,2,14
instant hotel,2,13
sunderland til i die,2,20
shes gotta have it,2,18
log horizon,2,11
puberty blues,2,13
mental 2019,2,11
nevsu,2,5
mobile suit gundam 00,2,21
my little monster,2,17
bad banks,2,9
elizabeth and margaret love and loyalty,2,39
masaba masaba,2,13
angelina ballerina,2,18
ranma 12,2,8
pretty hard cases,2,17
taarak mehta kka chhota chashmah,2,32
tharntype the series,2,20
the frankenstein chronicles,2,27
modus,2,5
the island with bear grylls,2,27
the journey,2,11
the miracle,2,11
