Title,Genre,Premiere
Best. Christmas. Ever!,Romantic comedy,"November 16, 2023"
In Love and Deep Water,Romantic mystery comedy,"November 16, 2023"
Believer 2,Crime action,"November 17, 2023"
Rustin,Biographical drama,"November 17, 2023"
All-Time High,Comedy,"November 17, 2023"
The Queenstown Kings,Drama,"November 17, 2023"
Leo,Animated musical,"November 21, 2023"
I Don't Expect Anyone to Believe Me,Comedy-thriller,"November 22, 2023"
Doi Boy,Drama,"November 24, 2023"
Elena Knows,Drama,"November 24, 2023"
Last Call for Istanbul,Drama,"November 24, 2023"
Wedding Games,Comedy,"November 24, 2023"
Family Switch,Comedy,"November 30, 2023"
Christmas As Usual,Romantic comedy,"December 6, 2023"
NAGA,Thriller,"December 7, 2023"
The Archies,Musical,"December 7, 2023"
Blood Vessel,Thriller,"December 8, 2023"
Leave the World Behind,Drama,"December 8, 2023"
Chicken Run: Dawn of the Nugget,Stop motion comedy,"December 15, 2023"
Familia,Drama,"December 15, 2023"
Maestro,Biographical drama,"December 20, 2023"
The Taming of the Shrewd 2,Comedy,"December 20, 2023"
Rebel Moon – Part One: A Child of Fire,Space opera,"December 21, 2023"
A Vampire in the Family,Comedy,"December 24, 2023"
Kho Gaye Hum Kahan,Comedy drama,"December 26, 2023"
"Thank You, I’m Sorry",Comedy drama,"December 26, 2023"
Mumbai Mafia: Police vs The Underworld,Documentary,"January 6, 2023"
The Hatchet Wielding Hitchhiker,Documentary,"January 10, 2023"
Big Mäck: Gangsters and Gold,Documentary,"January 20, 2023"
"Pamela, a Love Story",Documentary,"January 31, 2023"
Money Shot: The Pornhub Story,Documentary,"March 15, 2023"
Caught Out: Crime. Corruption. Cricket.,Documentary,"March 17, 2023"
Lewis Capaldi: How I'm Feeling Now,Documentary,"April 5, 2023"
Longest Third Date,Documentary,"April 18, 2023"
Anna Nicole Smith: You Don't Know Me,Documentary,"May 16, 2023"
Victim/Suspect,Documentary,"May 23, 2023"
Take Care of Maya,Documentary,"June 19, 2023"
King of Clones,Documentary,"June 23, 2023"
Eldorado: Everything the Nazis Hate,Documentary,"June 28, 2023"
Unknown: The Lost Pyramid,Documentary,"July 3, 2023"
Wham!,Documentary,"July 5, 2023"
Unknown: Killer Robots,Documentary,"July 10, 2023"
Unknown: Cave of Bones,Documentary,"July 17, 2023"
The Deepest Breath,Documentary,"July 19, 2023"
Unknown: Cosmic Time Machine,Documentary,"July 24, 2023"
Missing: The Lucie Blackman Case[a],Documentary,"July 26, 2023"
Tokyo Crime Squad: The Lucie Blackman Case[b],Documentary,"July 26, 2023"
The Lady of Silence: The Mataviejitas Murders,Documentary,"July 27, 2023"
Untold: Jake Paul the Problem Child,Documentary,"August 1, 2023"
Mark Cavendish: Never Enough,Documentary,"August 2, 2023"
Poisoned: The Dirty Truth About Your Food,Documentary,"August 2, 2023"
Untold: Johnny Football,Documentary,"August 8, 2023"
Untold: Hall of Shame,Documentary,"August 15, 2023"
A Life Too Short: The Isabella Nardoni Case,Documentary,"August 17, 2023"
Scouts Honor: The Secret Files of the Boy Scouts of America,Documentary,"September 6, 2023"
Rosa Peral's Tapes,Documentary,"September 8, 2023"
The Saint of Second Chances,Documentary,"September 19, 2023"
"Ice Cold: Murder, Coffee and Jessica Wongso",Documentary,"September 28, 2023"
The Darkness within La Luz del Mundo,Documentary,"September 28, 2023"
Race to the Summit,Documentary,"October 4, 2023"
Camp Courage,Documentary,"October 15, 2023"
The Devil on Trial,Documentary,"October 17, 2023"
Vjeran Tomic: The Spider-Man of Paris,Documentary,"October 20, 2023"
Onefour: Against All Odds,Documentary,"October 26, 2023"
Yellow Door: '90s Lo-fi Film Club,Documentary,"October 27, 2023"
Higuita: The Way of the Scorpion,Documentary,"November 2, 2023"
Sly,Documentary,"November 3, 2023"
Cyberbunker: The Criminal Underworld,Documentary,"November 8, 2023"
Stamped from the Beginning,Documentary,"November 20, 2023"
Ilary Blasi: The One and Only,Documentary,"November 24, 2023"
American Symphony,Documentary,"November 29, 2023"
Kevin Hart & Chris Rock: Headliners Only,Documentary,"December 12, 2023"
Face to Face with ETA: Conversations with a Terrorist,Documentary,"December 15, 2023"
Curry & Cyanide: The Jolly Joseph Case,Documentary,"December 22, 2023"
Hell Camp: Teen Nightmare,Documentary,"December 27, 2023"
A Whole Lifetime with Jamie Demetriou,Comedy,"February 28, 2023"
We Lost Our Human,Animation / interactive fiction,"March 21, 2023"
Mighty Morphin Power Rangers: Once & Always,Superhero science fiction,"April 19, 2023"
The Light We Carry: Michelle Obama & Oprah Winfrey,Interview,"April 25, 2023"
Tudum 2023: A Global Fan Event,Fan event,"June 17, 2023"
The Seven Deadly Sins: Grudge of Edinburgh Part 2,Anime,"August 8, 2023"
Choose Love,Romantic comedy / interactive fiction,"August 31, 2023"
Lifting the Veil: Behind the Scenes of Ehrengard,Behind the scenes,"September 14, 2023"
The Wonderful Story of Henry Sugar,Adventure comedy,"September 27, 2023"
The Netflix Cup,Sports event,"November 14, 2023"
The Bad Guys: A Very Bad Holiday,CG animated heist comedy,"November 30, 2023"
Making All Quiet on the Western Front,Making of,"February 20, 2023"
Weathering,Thriller,"April 14, 2023"
The Swan,Comedy,"September 28, 2023"
The Rat Catcher,Comedy,"September 29, 2023"
Poison,Comedy,"September 30, 2023"
Flashback,Horror,"October 20, 2023"
Disco Inferno,Horror,"October 20, 2023"
The After,Drama,"October 25, 2023"
Temple of Film: 100 Years of the Egyptian Theatre,Documentary,"November 9, 2023"
The Dads,Documentary,"November 17, 2023"
Making of Chicken Run: Dawn of the Nugget,Making of,"December 15, 2023"
